initialize,preprocessing,computation
0.120312s,0.000342s,0.251102s
0.122209s,0.139372s,0.231884s
0.099728s,0.139371s,0.231884s
,0.015019s,0.214645s
,0.156570s,0.232132s
,0.156569s,0.232131s
,0.139110s,0.095594s
,0.139212s,0.232223s
,0.139211s,0.232222s
initialize,preprocessing,computation
0.122089s,0.019749s,0.217588s
0.099837s,0.160900s,0.226562s
0.120328s,0.160899s,0.226561s
,0.138423s,0.103509s
,0.138581s,0.226718s
,0.138580s,0.226709s
,0.000378s,0.250696s
,0.138709s,0.226987s
,0.138708s,0.226986s
